case_id,model,statement,is_grounded (yes/no)
1,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
1,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
1,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
1,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
1,ayurmind,**Disclaimer:** This is educational information,
1,ayurmind,Please consult a BAMS practitioner,
2,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
2,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
2,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
2,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
2,ayurmind,**Disclaimer:** This is educational information,
2,ayurmind,Please consult a BAMS practitioner,
3,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
3,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
3,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
3,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
3,ayurmind,**Disclaimer:** This is educational information,
3,ayurmind,Please consult a BAMS practitioner,
4,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
4,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
4,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
4,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
4,ayurmind,**Disclaimer:** This is educational information,
4,ayurmind,Please consult a BAMS practitioner,
5,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
5,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
5,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
5,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
