case_id,model,scenario,response,treatment_relevance_score (1-5),safety_score (0-5),health_literacy_score (0-5),interpretability_score (0-5)
1,ayurmind,I've been feeling very anxious and my skin is dry. I have trouble sleeping and my mind is always racing. What could be the reason?,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
2,ayurmind,I have a short temper and I often get acid reflux. I also have some skin rashes that are reddish. What should I do?,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
3,ayurmind,"I feel heavy and lethargic all the time, especially after meals. I've gained some weight recently and I have a bit of a cough.","**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
4,ayurmind,"I have a mix of symptoms. My joints crack, I have dry skin, but I also get irritable and have acid reflux sometimes.","**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
5,ayurmind,I feel energetic but also a bit heavy. I have a good appetite but sometimes I feel nauseous after eating. My skin is oily but I also get rashes.,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
6,ayurmind,"I'm generally calm, but I've been feeling anxious lately. My digestion is slow and I feel bloated.","**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
7,ayurmind,"I feel completely out of balance. I have anxiety, heartburn, and I feel heavy and congested all at once. It's very confusing.","**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
8,ayurmind,I have cracking joints and I feel cold most of the time. My hair is thin and dry. What kind of diet should I follow?,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
9,ayurmind,I'm a very competitive person and I sweat a lot. I have a strong appetite and I get angry when I'm hungry. What is my constitution?,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
10,ayurmind,I am prone to getting colds and my sinuses are often congested. I have a calm and steady personality. What lifestyle changes should I make?,"**Prakriti Assessment:** Your constitution appears to be predominantly Vata.
**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha.
**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine. A gentle oil massage (Abhyanga) before bed can also be beneficial.
**Disclaimer:** This is educational information. Please consult a BAMS practitioner.",,,,
1,single_agent_rag,I've been feeling very anxious and my skin is dry. I have trouble sleeping and my mind is always racing. What could be the reason?,"Based on retrieved documents, your symptoms like 'I've been feeling very anxious...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
2,single_agent_rag,I have a short temper and I often get acid reflux. I also have some skin rashes that are reddish. What should I do?,"Based on retrieved documents, your symptoms like 'I have a short temper and I of...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
3,single_agent_rag,"I feel heavy and lethargic all the time, especially after meals. I've gained some weight recently and I have a bit of a cough.","Based on retrieved documents, your symptoms like 'I feel heavy and lethargic all...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
4,single_agent_rag,"I have a mix of symptoms. My joints crack, I have dry skin, but I also get irritable and have acid reflux sometimes.","Based on retrieved documents, your symptoms like 'I have a mix of symptoms. My j...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
5,single_agent_rag,I feel energetic but also a bit heavy. I have a good appetite but sometimes I feel nauseous after eating. My skin is oily but I also get rashes.,"Based on retrieved documents, your symptoms like 'I feel energetic but also a bi...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
6,single_agent_rag,"I'm generally calm, but I've been feeling anxious lately. My digestion is slow and I feel bloated.","Based on retrieved documents, your symptoms like 'I'm generally calm, but I've b...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
7,single_agent_rag,"I feel completely out of balance. I have anxiety, heartburn, and I feel heavy and congested all at once. It's very confusing.","Based on retrieved documents, your symptoms like 'I feel completely out of balan...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
8,single_agent_rag,I have cracking joints and I feel cold most of the time. My hair is thin and dry. What kind of diet should I follow?,"Based on retrieved documents, your symptoms like 'I have cracking joints and I f...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
9,single_agent_rag,I'm a very competitive person and I sweat a lot. I have a strong appetite and I get angry when I'm hungry. What is my constitution?,"Based on retrieved documents, your symptoms like 'I'm a very competitive person ...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
10,single_agent_rag,I am prone to getting colds and my sinuses are often congested. I have a calm and steady personality. What lifestyle changes should I make?,"Based on retrieved documents, your symptoms like 'I am prone to getting colds an...' may suggest an imbalance. Classical texts recommend certain lifestyle changes. [Source: Charaka Samhita, Sutra Sthana, Ch. 5]",,,,
